name,bounding_box,landmarks
Unknown,"(134, 128, 374, 429)","(209, 322); (274, 221); (313, 244); (240, 315); (372, 370)"
Unknown,"(141, 122, 373, 411)","(214, 322); (273, 221); (309, 235); (233, 303); (357, 358)"
Unknown,"(156, 126, 360, 373)","(224, 319); (280, 237); (311, 225); (219, 283); (334, 331)"
Unknown,"(163, 130, 351, 374)","(225, 314); (276, 234); (306, 222); (220, 274); (325, 326)"
Unknown,"(169, 138, 345, 364)","(228, 310); (275, 236); (303, 222); (220, 272); (318, 319)"
Unknown,"(171, 139, 343, 362)","(228, 310); (275, 237); (302, 222); (220, 271); (316, 318)"
Unknown,"(172, 139, 344, 361)","(229, 311); (275, 238); (302, 222); (221, 272); (316, 318)"
Unknown,"(173, 142, 347, 368)","(229, 310); (275, 239); (301, 222); (221, 270); (321, 321)"
Unknown,"(174, 143, 350, 366)","(227, 309); (273, 235); (299, 220); (220, 267); (318, 318)"
Unknown,"(175, 145, 351, 363)","(228, 310); (274, 236); (301, 220); (219, 265); (315, 315)"
Unknown,"(175, 144, 350, 363)","(228, 309); (274, 236); (301, 220); (219, 264); (315, 315)"
Unknown,"(175, 147, 349, 363)","(227, 308); (272, 235); (299, 220); (220, 265); (315, 316)"
Unknown,"(172, 143, 347, 366)","(225, 307); (272, 233); (299, 220); (219, 265); (317, 316)"
Unknown,"(167, 141, 342, 361)","(220, 302); (265, 230); (294, 224); (221, 267); (318, 316)"
Unknown,"(165, 140, 341, 363)","(217, 298); (263, 229); (290, 224); (220, 267); (319, 316)"
Unknown,"(162, 143, 338, 362)","(214, 294); (260, 226); (288, 225); (220, 267); (318, 315)"
Unknown,"(178, 147, 342, 358)","(230, 309); (273, 235); (299, 223); (222, 268); (314, 316)"
Unknown,"(181, 153, 337, 354)","(232, 307); (273, 233); (296, 226); (228, 271); (311, 314)"
Unknown,"(181, 157, 329, 347)","(230, 300); (268, 231); (290, 226); (229, 268); (304, 307)"
Unknown,"(182, 146, 338, 342)","(230, 304); (267, 229); (290, 220); (225, 263); (302, 307)"
Unknown,"(174, 155, 324, 347)","(224, 296); (263, 226); (286, 224); (227, 266); (306, 308)"
Unknown,"(165, 152, 323, 344)","(215, 285); (250, 213); (272, 227); (232, 267); (305, 310)"
Unknown,"(161, 185, 297, 359)","(201, 264); (235, 205); (257, 247); (246, 282); (320, 320)"
GiaBao,"(164, 227, 283, 374)","(200, 257); (233, 207); (255, 280); (278, 315); (344, 345)"
GiaBao,"(175, 239, 295, 385)","(210, 266); (239, 212); (260, 296); (298, 332); (355, 359)"
Unknown,"(194, 234, 318, 386)","(232, 289); (265, 236); (286, 287); (287, 322); (348, 350)"
Unknown,"(223, 195, 375, 384)","(271, 341); (308, 271); (332, 266); (269, 308); (343, 347)"
Unknown,"(256, 169, 444, 397)","(306, 393); (343, 313); (383, 252); (251, 309); (351, 352)"
Unknown,"(259, 23, 537, 348)","(318, 433); (354, 324); (414, 133); (127, 219); (277, 272)"
Unknown,"(136, 72, 377, 366)","(207, 320); (261, 222); (313, 185); (183, 256); (307, 309)"
Unknown,"(230, 154, 401, 363)","(285, 366); (328, 295); (360, 231); (229, 278); (320, 320)"
Unknown,"(278, 146, 411, 314)","(325, 389); (361, 331); (381, 209); (209, 242); (279, 279)"
Unknown,"(292, 149, 419, 312)","(334, 394); (366, 336); (384, 210); (211, 245); (277, 278)"
Unknown,"(278, 148, 414, 318)","(320, 381); (351, 324); (373, 213); (213, 247); (282, 283)"
Unknown,"(257, 151, 399, 328)","(299, 364); (332, 302); (356, 217); (217, 254); (290, 291)"
Unknown,"(234, 146, 369, 319)","(277, 340); (311, 284); (334, 213); (211, 249); (285, 283)"
Unknown,"(209, 155, 347, 330)","(255, 321); (292, 260); (314, 221); (220, 260); (294, 294)"
Unknown,"(198, 147, 352, 335)","(246, 317); (283, 248); (310, 221); (220, 264); (295, 297)"
Unknown,"(195, 128, 352, 329)","(247, 321); (289, 254); (315, 207); (206, 252); (290, 289)"
Unknown,"(201, 121, 362, 323)","(251, 329); (291, 255); (320, 199); (200, 246); (282, 284)"
Unknown,"(211, 117, 375, 323)","(261, 339); (299, 264); (330, 195); (196, 245); (279, 280)"
Unknown,"(216, 102, 391, 321)","(266, 349); (302, 266); (331, 191); (193, 243); (281, 283)"
Unknown,"(218, 111, 378, 314)","(266, 344); (304, 270); (333, 190); (192, 238); (275, 277)"
Unknown,"(214, 122, 366, 315)","(260, 335); (297, 264); (324, 195); (196, 240); (276, 278)"
Unknown,"(201, 113, 363, 313)","(254, 328); (290, 258); (316, 196); (196, 241); (279, 280)"
Unknown,"(197, 119, 352, 319)","(247, 319); (284, 251); (309, 196); (197, 241); (279, 280)"
Unknown,"(195, 120, 350, 315)","(245, 319); (282, 251); (307, 197); (198, 239); (281, 282)"
Unknown,"(195, 115, 352, 320)","(244, 317); (281, 250); (305, 194); (196, 239); (281, 282)"
Unknown,"(193, 111, 353, 324)","(242, 316); (282, 250); (308, 193); (191, 237); (280, 278)"
Unknown,"(194, 112, 351, 320)","(245, 320); (286, 253); (309, 192); (191, 235); (281, 281)"
Unknown,"(194, 112, 353, 323)","(242, 316); (280, 249); (307, 192); (192, 234); (278, 277)"
Unknown,"(192, 114, 355, 321)","(243, 316); (278, 249); (307, 193); (194, 235); (277, 279)"
Unknown,"(194, 114, 352, 321)","(244, 316); (280, 251); (307, 194); (195, 235); (278, 279)"
Unknown,"(194, 120, 349, 317)","(234, 308); (266, 239); (299, 197); (196, 243); (281, 281)"
Unknown,"(187, 126, 336, 313)","(221, 291); (247, 228); (285, 200); (200, 245); (278, 279)"
Unknown,"(184, 126, 337, 316)","(216, 286); (239, 223); (280, 200); (199, 248); (279, 280)"
Unknown,"(186, 125, 344, 322)","(232, 307); (266, 239); (300, 205); (204, 251); (286, 286)"
Unknown,"(194, 108, 365, 317)","(246, 325); (285, 249); (314, 195); (196, 245); (281, 282)"
Unknown,"(200, 104, 365, 312)","(257, 335); (301, 265); (327, 189); (187, 236); (276, 274)"
Unknown,"(265, 96, 405, 283)","(320, 370); (367, 343); (384, 165); (140, 188); (239, 222)"
Unknown,"(307, 209, 399, 330)","(359, 394); (391, 362); (388, 257); (260, 283); (308, 309)"
Unknown,"(277, 204, 382, 335)","(322, 367); (352, 324); (361, 252); (255, 278); (303, 306)"
Unknown,"(250, 177, 361, 312)","(291, 343); (322, 296); (339, 228); (229, 253); (282, 283)"
Unknown,"(218, 137, 352, 301)","(260, 322); (293, 267); (321, 203); (200, 232); (267, 266)"
Unknown,"(192, 110, 352, 307)","(243, 316); (280, 250); (312, 188); (188, 225); (267, 267)"
Unknown,"(167, 98, 348, 320)","(224, 308); (267, 231); (302, 186); (187, 226); (273, 273)"
Unknown,"(143, 99, 336, 334)","(199, 288); (243, 207); (284, 189); (188, 232); (283, 283)"
Unknown,"(133, 161, 318, 389)","(185, 269); (224, 190); (264, 253); (252, 297); (343, 343)"
Unknown,"(138, 189, 321, 413)","(188, 272); (226, 193); (265, 274); (273, 320); (365, 365)"
Unknown,"(157, 154, 343, 386)","(207, 293); (245, 213); (287, 244); (243, 289); (337, 337)"
Unknown,"(185, 134, 395, 387)","(246, 343); (294, 255); (336, 234); (234, 283); (335, 335)"
Unknown,"(208, 118, 417, 375)","(269, 367); (318, 277); (359, 218); (217, 271); (321, 322)"
Unknown,"(212, 128, 404, 365)","(270, 360); (315, 278); (353, 223); (223, 272); (318, 319)"
Unknown,"(199, 139, 378, 358)","(253, 336); (294, 257); (328, 224); (226, 268); (312, 315)"
Unknown,"(190, 135, 361, 349)","(243, 324); (284, 250); (317, 220); (220, 262); (307, 307)"
Unknown,"(189, 136, 359, 349)","(242, 321); (282, 250); (315, 220); (220, 261); (306, 306)"
Unknown,"(188, 146, 365, 360)","(243, 322); (284, 247); (318, 229); (230, 271); (312, 313)"
Unknown,"(187, 150, 361, 362)","(241, 320); (281, 245); (315, 233); (234, 274); (315, 317)"
